"id","player_id","first_name","last_name","hand","dob","height"
120102,113190,"Bobby","Riggs","U","1800-01-01",0
120103,200000,"X","X","U","1800-01-01",0
120104,200001,"Martina","Hingis","R","1980-09-30",170
120105,200002,"Mirjana","Lucic","R","1982-03-09",181
120106,200003,"Justine","Henin","R","1982-06-01",167
120107,200004,"Kerry Anne","Guse","R","1972-12-04",159
120108,200005,"Jolene","Watanabe","R","1968-08-31",0
120109,200006,"Karina","Habsudova","R","1973-08-02",170
120110,200007,"Silvija","Talaja","R","1978-01-14",173
120111,200008,"Alicia","Molik","R","1981-01-27",182
120112,200009,"Tamarine","Tanasugarn","R","1977-05-24",165
120113,200010,"Rita","Grande","R","1975-03-23",177
120114,200011,"Katarina","Srebotnik","R","1981-03-12",180
120115,200012,"Jana","Nejedly","R","1974-06-09",175
120116,200013,"Angelica","Gavaldon","R","1973-10-03",0
120117,200014,"Tzipi","Obziler","R","1973-04-19",172
120118,200015,"Petra","Mandula","R","1978-01-17",178
120119,200016,"Sandrine","Testud","R","1972-04-03",176
120120,200017,"Arantxa","Sanchez Vicario","R","1971-12-18",168
120121,200018,"Julia","Abe","R","1976-05-21",0
120122,200019,"Alexandra","Fusai","R","1973-11-22",176
120123,200020,"Lisa","Raymond","R","1973-08-10",165
120124,200021,"Alexia","Dechaume Balleret","R","1970-05-03",0
120125,200022,"Emmanuelle","Gagliardi","R","1976-07-09",171
120126,200023,"Bryanne","Stewart","R","1979-12-09",174
120127,200024,"Maria","Vento Kabchi","R","1974-05-24",168
120128,200025,"Ludmila","Cervanova","R","1979-10-15",171
120129,200026,"Florencia","Labat","L","1971-06-12",170
120130,200027,"Magui","Serna","L","1979-03-01",167
120131,200028,"Maureen","Drake","R","1971-03-21",175
120132,200029,"Lisa","Mcshea","R","1974-10-29",174
120133,200030,"Miroslava","Vavrinec","R","1978-04-01",173
120134,200031,"Meilen","Tu","R","1978-01-17",163
120135,200032,"Barbara","Schett","R","1976-03-10",176
120136,200033,"Serena","Williams","R","1981-09-26",175
120137,200034,"Amanda","Grahame","L","1979-03-25",0
120138,200035,"Maria","Sanchez Lorenzo","R","1977-11-07",171
120139,200036,"Nicole","Pratt","R","1973-03-05",163
120140,200037,"Sabine","Appelmans","L","1972-04-22",168
120141,200038,"Annabel","Ellwood","R","1978-02-02",165
120142,200039,"Chanda","Rubin","R","1976-02-18",168
120143,200040,"Anna","Smashnova","R","1976-07-16",157
120144,200041,"Amy","Frazier","R","1972-09-19",175
120145,200042,"Els","Callens","R","1970-08-20",178
120146,200043,"Virginie","Razzano","R","1983-05-12",173
120147,200044,"Denisa","Chladkova","R","1979-02-08",174
120148,200045,"Tara","Snyder","R","1977-05-26",175
120149,200046,"Meghann","Shaughnessy","R","1979-04-13",180
120150,200047,"Pavlina","Nola","R","1974-07-14",0
120151,200048,"Elena","Likhovtseva","R","1975-09-08",174
120152,200049,"Conchita","Martinez","R","1972-04-16",170
120153,200050,"Sandra","Kleinova","R","1978-05-08",177
120154,200051,"Irina","Spirlea","R","1974-03-26",175
120155,200052,"Olga","Barabanschikova","R","1979-11-02",172
120156,200053,"Lubomira","Bacheva","R","1975-03-07",0
120157,200054,"Sylvia","Plischke","R","1977-07-20",177
120158,200055,"Mariana","Diaz Oliva","R","1976-03-11",172
120159,200056,"Jelena","Kostanic Tosic","L","1981-07-06",168
120160,200057,"Erika","De Lone","R","1972-10-14",0
120161,200058,"Anna","Foldenyi Dicker","R","1974-08-22",165
120162,200059,"Ruxandra","Dragomir Ilie","R","1972-10-24",168
120163,200060,"Tathiana","Garbin","R","1977-06-30",172
120164,200061,"Gala","Leon Garcia","L","1973-12-23",163
120165,200062,"Kristina","Brandi","R","1977-03-29",168
120166,200063,"Tatiana","Panova","R","1976-08-13",154
120167,200064,"Amanda","Coetzer","R","1971-10-22",158
120168,200065,"Amelie","Mauresmo","R","1979-07-05",175
120169,200066,"Cristina","Torrens Valero","R","1974-09-12",171
120170,200067,"Patty","Schnyder","L","1978-12-14",168
120171,200068,"Lilia","Osterloh","R","1978-04-07",170
120172,200069,"Nadia","Petrova","R","1982-06-08",178
120173,200070,"Anne Gaelle","Sidot","L","1979-07-24",172
120174,200071,"Lenka","Nemeckova","R","1976-04-20",170
120175,200072,"Cara","Black","R","1979-02-17",167
120176,200073,"Julie","Pullin","L","1975-11-05",173
120177,200074,"Jane","Chi","R","1974-06-21",165
120178,200075,"Jing Qian","Yi","R","1974-02-28",168
120179,200076,"Laurence","Courtois","R","1976-01-18",172
120180,200077,"Jennifer","Capriati","R","1976-03-29",170
120181,200078,"Barbara","Schwartz","L","1979-01-27",181
120182,200079,"Kim","Clijsters","R","1983-06-08",175
120183,200080,"Dominique","Monami","R","1973-05-31",170
120184,200081,"Anke","Huber","R","1974-12-04",173
120185,200082,"Kristie","Boogert","R","1973-12-16",178
120186,200083,"Alexandra","Stevenson","R","1980-12-15",185
120187,200084,"Asa","Carlsson","R","1975-06-16",178
120188,200085,"Ai","Sugiyama","R","1975-07-05",163
120189,200086,"Magdalena","Maleeva","R","1975-04-01",168
120190,200087,"Seda","Noorlander","R","1974-05-22",166
120191,200088,"Adriana","Gersi","R","1976-06-26",166
120192,200089,"Miriam","Oremans","R","1972-09-09",169
120193,200090,"Anca","Barna","L","1977-05-14",175
120194,200091,"Janet","Lee","R","1976-10-22",175
120195,200092,"Sandra","Nacuk","R","1980-08-17",0
120196,200093,"Amelie","Cocheteux","L","1978-03-27",0
120197,200094,"Barbara","Rittner","R","1973-04-25",173
120198,200095,"Linda","Wild","R","1971-02-11",0
120199,200096,"Mary","Pierce","R","1975-01-15",178
120200,200097,"Nathalie","Tauziat","R","1967-10-17",165
120201,200098,"Henrieta","Nagyova","R","1978-12-15",177
120202,200099,"Sonya","Jeyaseelan","R","1976-04-24",157
120203,200100,"Amanda","Hopmans","R","1976-02-11",167
120204,200101,"Jana","Kandarr","R","1976-09-21",181
120205,200102,"Melissa","Dowse","R","1982-04-27",0
120206,200103,"Evie","Dominikovic","R","1980-05-29",173
120207,200104,"Emilie","Loit","L","1979-06-09",167
120208,200105,"Rachel","Mcquillan","U","1971-12-02",170
120209,200106,"Angeles","Montolio","R","1975-08-06",157
120210,200107,"Paola","Suarez","R","1976-06-23",170
120211,200108,"Elena","Dementieva","R","1981-10-15",180
120212,200109,"Nathalie","Dechy","R","1979-02-21",177
120213,200110,"Fabiola","Zuluaga","R","1979-01-07",172
120214,200111,"Lina","Krasnoroutskaya","R","1984-04-29",174
120215,200112,"Julie","Halard Decugis","R","1970-09-10",173
120216,200113,"Anna","Kournikova","R","1981-06-07",173
120217,200114,"Patricia","Wartusch","R","1978-08-05",175
120218,200115,"Brie","Rippner","R","1980-01-21",175
120219,200116,"Natalia","Zvereva","R","1971-04-16",174
120220,200117,"Kveta","Peschke","R","1975-07-09",165
120221,200118,"Virginia","Ruano Pascual","R","1973-09-21",169
120222,200119,"Rita","Kuti Kis","L","1978-02-13",176
120223,200120,"Jelena","Dokic","R","1983-04-12",175
120224,200121,"Alina","Jidkova","R","1977-01-18",168
120225,200122,"Tina","Pisnik","R","1981-02-19",172
120226,200123,"Marlene","Weingartner","R","1980-01-30",174
120227,200124,"Anne","Kremer","R","1975-10-17",165
120228,200125,"Corina","Morariu","R","1978-01-26",174
120229,200126,"Marissa","Irvin","R","1980-06-23",170
120230,200127,"Sarah","Pitkowski Malcor","R","1975-11-13",0
120231,200128,"Lindsay","Davenport","R","1976-06-08",189
120232,200129,"Lesley","Turner","R","1942-08-16",0
120233,200130,"Dorothy","Whitely","U","1800-01-01",0
120234,200131,"Judith","Dibar","U","1945-05-10",0
120235,200132,"Kay","Williams","U","1800-01-01",0
120236,200133,"Eva","Duldig","R","1800-01-01",0
120237,200134,"Kerry","Ballard","U","1949-12-16",0
120238,200135,"Lorraine","Coghlan","U","1937-09-23",155
120239,200136,"Valerie","Caulley","U","1800-01-01",0
120240,200137,"L","Griffiths","U","1800-01-01",0
120241,200138,"Sandra","Hole","U","1800-01-01",0
120242,200139,"Lita","Liem","L","1946-02-27",0
120243,200140,"Beryl","Jenkins","U","1800-01-01",0
120244,200141,"Wendy","Gilchrist","L","1950-05-17",0
120245,200142,"Loris","Butterfield","U","1800-01-01",0
120246,200143,"Kathleen","Harter","R","1946-10-27",0
120247,200144,"Margaret","Court","R","1942-07-16",175
120248,200145,"Kerry","Harris","R","1949-09-19",173
120249,200146,"Cynthia","Doerner","R","1951-02-11",168
120250,200147,"Geri","Shepard","U","1800-01-01",0
120251,200148,"Marilyn","Tesch","U","1800-01-01",0
120252,200149,"Helen","Sheedy","U","1800-01-01",0
120253,200150,"Evonne","Goolagong","R","1951-07-31",168
120254,200151,"Ada","Bakker","U","1948-04-08",0
120255,200152,"Gail","Sherriff","R","1945-04-03",0
120256,200153,"Sheila","Washbourne","U","1800-01-01",0
120257,200154,"Sandra","Stephen","U","1800-01-01",0
120258,200155,"Lexie","Kenny","U","1800-01-01",0
120259,200156,"Lynette","Mansfield","U","1800-01-01",0
120260,200157,"Lynne","Nette","U","1942-05-26",0
120261,200158,"Carol","Sherriff","R","1946-10-20",0
120262,200159,"Rosie","Casals","R","1948-09-16",157
120263,200160,"Judy","Tegart","R","1937-12-12",0
120264,200161,"Janine","Whyte","U","1800-01-01",0
120265,200162,"Judith","Salome","U","1949-02-10",0
120266,200163,"Helen","Oconnor","U","1800-01-01",0
120267,200164,"Joan","Johnson","U","1800-01-01",0
120268,200165,"Lany","Kaligis","U","1949-04-22",0
120269,200166,"Patricia","Edwards","U","1800-01-01",0
120270,200167,"Heather","Mckechnie","U","1800-01-01",0
120271,200168,"Karen","Krantzcke","R","1947-02-01",188
120272,200169,"Ann","Jenkins","U","1800-01-01",0
120273,200170,"Beverley","Rae","U","1929-11-16",0
120274,200171,"Janet","Young","U","1951-10-22",0
120275,200172,"Caroline","Cooper","U","1800-01-01",0
120276,200173,"Kaye","Dening","U","1800-01-01",0
120277,200174,"Kerry","Wilkinson","U","1800-01-01",0
120278,200175,"Mary Ann","Eisel","U","1946-11-25",0
120279,200176,"Kerry","Reid","R","1947-08-07",166
120280,200177,"Alison","Mckenzie","U","1800-01-01",0
120281,200178,"Sue","Hastings","U","1800-01-01",0
120282,200179,"Barbara","Hawcroft","R","1950-10-13",0
120283,200180,"Astrid","Suurbeek","U","1947-02-15",158
120284,200181,"Margaret","Starr","U","1800-01-01",0
120285,200182,"E","Staples","U","1800-01-01",0
120286,200183,"Elena","Subirats","U","1947-12-30",0
120287,200184,"Helen","Gourlay","R","1946-12-23",166
